EXCHANGE,PRODUCT,SYMBOL,TOKEN,BUY_AMOUNT,SELL_AMOUNT,BUY_QUANTITY,SELL_QUANTITY,CF_BUY_AMOUNT,CF_SELL_AMOUNT,CF_BUY_QUANTITY,CF_SELL_QUANTITY,AVG_BUY_PRICE,AVG_SELL_PRICE,NET_QUANTITY,CLOSE_PRICE,LAST_TRADED_PRICE,REALIZED_PROFIT,UNREALIZED_PROFIT,CF_AVG_PRICE
NSE_EQ,I,FEDERALBNK,1023,81.85,0,1,0,0,0,0,0,81.85,0,1,81.85,82.4,0,0.550000000000011,0
NSE_EQ,D,IDFCBANK,11184,47.25,0,1,0,0,0,0,0,47.25,0,1,47.1,47.2,0,-0.0499999999999972,0
NSE_EQ,I,IDFCBANK,11184,47.25,47.2,1,1,0,0,0,0,47.25,47.2,0,47.1,47.2,-0.0499999999999972,0,0
NSE_EQ,D,FEDERALBNK,1023,81.75,0,1,0,0,0,0,0,81.75,0,1,81.85,82.4,0,0.650000000000006,0

EXCHANGE,PRODUCT,SYMBOL,TOKEN,BUY_AMOUNT,SELL_AMOUNT,BUY_QUANTITY,SELL_QUANTITY,CF_BUY_AMOUNT,CF_SELL_AMOUNT,CF_BUY_QUANTITY,CF_SELL_QUANTITY,AVG_BUY_PRICE,AVG_SELL_PRICE,NET_QUANTITY,CLOSE_PRICE,LAST_TRADED_PRICE,REALIZED_PROFIT,UNREALIZED_PROFIT,CF_AVG_PRICE
NSE_EQ,I,DLF,14732,1221.1,1227.3,7,7,0,0,0,0,174.442857142857,175.328571428571,0,185.1,178.9,6.2000000000001,0,0
NSE_EQ,I,UJJIVAN,17069,1058.1,1073.8,4,4,0,0,0,0,264.525,268.45,0,276.95,280.15,15.7,0,0
NSE_EQ,I,BERGEPAINT,404,861.6,865.8,3,3,0,0,0,0,287.2,288.6,0,297.95,298.45,4.19999999999993,0,0
NSE_EQ,D,ADANIPORTS,15083,1005.81,1008.9,3,3,0,0,0,0,335.27,336.3,0,345.85,338.75,3.09000000000009,0,0
NSE_EQ,I,FEDERALBNK,1023,496.6,499.4,7,7,0,0,0,0,70.9428571428572,71.3428571428571,0,71.9,72.4,2.79999999999994,0,0
NSE_EQ,D,CAPLIPOINT,3906,429.5,433.8,1,1,0,0,0,0,429.5,433.8,0,433.6,431.5,4.30000000000001,0,0
NSE_EQ,I,ITC,1660,295.5,297,1,1,0,0,0,0,295.5,297,0,297.95,300.75,1.5,0,0
NSE_EQ,I,M&M,2031,6133.8,6140.1,7,7,0,0,0,0,876.257142857143,877.157142857143,0,896.05,896,6.30000000000064,0,0
NSE_EQ,I,IBULHSGFIN,30125,17155.7,17326.5,20,20,0,0,0,0,857.785,866.325,0,981.95,952.4,170.799999999999,0,0
NSE_EQ,I,ADANIPORTS,15083,-0.01,0,0,0,0,0,0,0,0,0,0,345.85,338.75,0,0,0
NSE_EQ,D,INFY,1594,0,731.6,0,1,0,0,0,0,0,731.6,-1,718.25,724.2,0,7.39999999999998,0
NSE_EQ,I,TATAMOTORS,3456,4277.8,4302,18,18,0,0,0,0,237.655555555556,239,0,240.2,241,24.1999999999998,0,0
NSE_EQ,I,SBIN,3045,261.9,262.3,1,1,0,0,0,0,261.9,262.3,0,264.35,272.65,0.400000000000034,0,0
NSE_EQ,I,BAJFINANCE,317,2217.6,2239.8,1,1,0,0,0,0,2217.6,2239.8,0,2260.8,2303.2,22.2000000000003,0,0
NSE_EQ,I,RELIANCE,2885,7313.8,7332.25,6,6,0,0,0,0,1218.96666666667,1222.04166666667,0,1232.05,1231.75,18.4500000000003,0,0
NSE_EQ,I,ZEEL,3812,441.4,443.6,1,1,0,0,0,0,441.4,443.6,0,448.05,449.95,2.20000000000005,0,0
NSE_EQ,I,HDFCBANK,1333,1918.9,1921.9,1,1,0,0,0,0,1918.9,1921.9,0,1925.7,1954.8,3,0,0
NSE_EQ,I,INFY,1594,2185.5,2177.1,3,3,0,0,0,0,728.5,725.7,0,718.25,724.2,-8.4000000000002,0,0
NSE_EQ,I,IDFCBANK,11184,375.5,377.3,10,10,0,0,0,0,37.55,37.73,0,38.8,38.05,1.80000000000007,0,0
NSE_EQ,I,PCJEWELLER,29124,491,494.7,7,7,0,0,0,0,70.1428571428571,70.6714285714286,0,73,69.85,3.69999999999997,0,0

