EXCHANGE,TOKEN,SYMBOL,PRODUCT,ORDER_TYPE,TRANSACTION_TYPE,TRADED_QUANTITY,EXCHANGE_ORDER_ID,ORDER_ID,EXCHANGE_TIME,TIME_IN_MICRO,TRADED_PRICE,TRADE_ID
NSE_EQ,1023,FEDERALBNK,I,L,B,1,1100000000814444,180823000031512,23-Aug-2018 09:31:22,1534996882520216,81.85,25302801
NSE_EQ,1023,FEDERALBNK,D,L,B,1,1100000000887178,180823000034537,23-Aug-2018 09:33:58,1534997044894573,81.75,25340777

EXCHANGE,TOKEN,SYMBOL,PRODUCT,ORDER_TYPE,TRANSACTION_TYPE,TRADED_QUANTITY,EXCHANGE_ORDER_ID,ORDER_ID,EXCHANGE_TIME,TIME_IN_MICRO,TRADED_PRICE,TRADE_ID
NSE_EQ,11184,IDFCBANK,I,L,B,1,1100000000133626,180925000005976,25-Sep-2018 09:15:25,1537847268980972,38,25055699
NSE_EQ,30125,IBULHSGFIN,I,L,B,2,1100000004236240,180925000124662,25-Sep-2018 11:21:51,1537854713251675,917.75,26763229
NSE_EQ,14732,DLF,I,L,S,3,1000000008926827,180925000196303,25-Sep-2018 13:32:26,1537862918058045,176.2,3457650
NSE_EQ,3456,TATAMOTORS,I,L,B,2,1300000006492503,180925000224152,25-Sep-2018 14:15:15,1537866178071832,236.8,77748564
NSE_EQ,29124,PCJEWELLER,I,L,B,2,1200000000118410,180925000006030,25-Sep-2018 09:15:26,1537847348727010,71.5,50081227
NSE_EQ,14732,DLF,I,L,B,1,1000000011043898,180925000233812,25-Sep-2018 14:30:58,1537866186687502,169.4,4301555
NSE_EQ,14732,DLF,I,L,B,1,1000000010433816,180925000223567,25-Sep-2018 14:14:43,1537865960960634,171.2,4257804
NSE_EQ,3456,TATAMOTORS,I,L,S,6,1300000006227402,180925000215569,25-Sep-2018 14:03:58,1537865100114727,238.3,77599500
NSE_EQ,29124,PCJEWELLER,I,L,B,4,1200000000337087,180925000013625,25-Sep-2018 09:19:15,1537862076276788,68.8,52451121
NSE_EQ,14732,DLF,I,L,S,1,1000000011001398,180925000233136,25-Sep-2018 14:29:31,1537866032272042,172.1,4272355
NSE_EQ,11184,IDFCBANK,I,L,B,1,1100000000471699,180925000016226,25-Sep-2018 09:20:46,1537848033186774,37.9,25276159
NSE_EQ,11184,IDFCBANK,I,L,B,2,1100000001276711,180925000040226,25-Sep-2018 09:40:28,1537848664344860,37.5,25454799
NSE_EQ,1023,FEDERALBNK,I,L,B,1,1100000000376655,180925000013598,25-Sep-2018 09:19:14,1537848129705380,71.2,25304149
NSE_EQ,1333,HDFCBANK,I,L,S,1,1100000000361888,180925000013234,25-Sep-2018 09:18:59,1537847345085031,1921.9,25092776
NSE_EQ,30125,IBULHSGFIN,I,L,B,1,1100000003025942,180925000091534,25-Sep-2018 10:32:26,1537851774293724,938,26190766
NSE_EQ,404,BERGEPAINT,I,L,B,2,1000000000234161,180925000009497,25-Sep-2018 09:16:54,1537848624390034,285.95,431254
NSE_EQ,11184,IDFCBANK,I,L,B,2,1100000006361935,180925000178823,25-Sep-2018 13:09:08,1537861150089401,37.2,27773680
NSE_EQ,317,BAJFINANCE,I,L,B,1,1000000000128630,180925000005731,25-Sep-2018 09:15:21,1537847175560093,2217.6,18378
NSE_EQ,30125,IBULHSGFIN,I,L,B,1,1100000007648266,180925000209289,25-Sep-2018 13:54:05,1537864032625593,849,28410231
NSE_EQ,1594,INFY,I,L,B,1,1100000009105226,180925000242796,25-Sep-2018 14:47:28,1537868399005408,726.4,29436698
NSE_EQ,1023,FEDERALBNK,I,L,S,1,1100000000329000,180925000012408,25-Sep-2018 09:18:28,1537847340201362,71.3,25089782
NSE_EQ,30125,IBULHSGFIN,I,L,B,4,1100000006549885,180925000183013,25-Sep-2018 13:15:37,1537861538824378,798.85,27872030
NSE_EQ,30125,IBULHSGFIN,I,L,B,4,1100000006549885,180925000183013,25-Sep-2018 13:15:37,1537861538824299,798.85,27872029
NSE_EQ,29124,PCJEWELLER,I,L,S,3,1200000000336876,180925000013615,25-Sep-2018 09:19:15,1537853603172476,72.5,51250474
NSE_EQ,1023,FEDERALBNK,I,L,B,1,1100000005861934,180925000164377,25-Sep-2018 12:45:34,1537860304656250,71.2,27596661
NSE_EQ,1660,ITC,I,L,S,1,1100000000375617,180925000013578,25-Sep-2018 09:19:13,1537853472703920,297,26510541
NSE_EQ,11184,IDFCBANK,I,L,B,1,1100000000377344,180925000013613,25-Sep-2018 09:19:15,1537847381432531,38,25105022
NSE_EQ,1594,INFY,I,L,B,1,1100000008915297,180925000239104,25-Sep-2018 14:40:59,1537867103177809,729.5,29080058
NSE_EQ,17069,UJJIVAN,I,L,S,3,1300000006314146,180925000218244,25-Sep-2018 14:07:49,1537865016124225,266.8,77581912
NSE_EQ,30125,IBULHSGFIN,I,L,B,1,1100000007384915,180925000203276,25-Sep-2018 13:42:41,1537863438845274,848.8,28306546
NSE_EQ,3456,TATAMOTORS,I,L,B,2,1300000000323499,180925000013982,25-Sep-2018 09:19:29,1537848279442603,239.8,75262374
NSE_EQ,1594,INFY,I,M,S,3,1100000010019334,180925000262710,25-Sep-2018 15:16:48,1537868808249040,725.7,29557622
NSE_EQ,30125,IBULHSGFIN,I,L,S,15,1100000006559709,180925000183260,25-Sep-2018 13:15:53,1537863152209968,852.3,28244190
NSE_EQ,3456,TATAMOTORS,I,L,S,2,1300000004228361,180925000153514,25-Sep-2018 12:20:39,1537858239927497,240.1,76586470
NSE_EQ,30125,IBULHSGFIN,I,L,B,1,1100000000130089,180925000005823,25-Sep-2018 09:15:23,1537847229942151,949.8,25039445
NSE_EQ,11184,IDFCBANK,I,L,B,1,1100000001715054,180925000052975,25-Sep-2018 09:53:11,1537860602657975,37.6,27661715
NSE_EQ,17069,UJJIVAN,I,L,B,2,1300000006308645,180925000218019,25-Sep-2018 14:07:31,1537864654554647,259.5,77521787
NSE_EQ,3456,TATAMOTORS,I,L,B,4,1300000006222274,180925000215380,25-Sep-2018 14:03:41,1537864428106276,236.25,77482985
NSE_EQ,3456,TATAMOTORS,I,L,S,2,1300000006874891,180925000234683,25-Sep-2018 14:33:03,1537866855770071,238,77841601
NSE_EQ,404,BERGEPAINT,I,L,S,3,1000000001409668,180925000040243,25-Sep-2018 09:40:29,1537849609371134,288.6,711600
NSE_EQ,14732,DLF,I,L,B,1,1000000001489738,180925000042386,25-Sep-2018 09:42:15,1537854423309534,180.1,1888892
NSE_EQ,1333,HDFCBANK,I,L,B,1,1100000000133984,180925000006000,25-Sep-2018 09:15:26,1537847327317162,1918.9,25088551
NSE_EQ,2031,M&M,I,L,B,4,1200000000203138,180925000009632,25-Sep-2018 09:16:58,1537848576648213,869.4,50347417
NSE_EQ,14732,DLF,I,L,B,1,1000000009141174,180925000200573,25-Sep-2018 13:38:49,1537864349233967,172.9,3781358
NSE_EQ,317,BAJFINANCE,I,L,S,1,1000000000199473,180925000008304,25-Sep-2018 09:16:21,1537849350810003,2239.8,619053
NSE_EQ,3456,TATAMOTORS,I,L,S,6,1300000001048417,180925000041218,25-Sep-2018 09:41:14,1537849270102078,238.9,75442034
NSE_EQ,2031,M&M,I,L,B,1,1200000000117994,180925000006008,25-Sep-2018 09:15:26,1537847138519819,889,50018107
