35822,185419,-6521,-11798,54141,72874,1219,49.2,1997895,147337
28-09-2018,-949,-847,-102,-7570,6723,49112,93,-1.9,165794,6822
04-10-2018,-342,240,-582,-45342,45583,99846,146,-0.3,163010,42999
05-10-2018,-5593,-5485,-108,-9758,4273,82596,319,-6.8,543712,31738
08-10-2018,18962,19045,-83,-868,19913,111712,108,17,174686,13709
09-10-2018,26392,27509,-1117,-2603,30112,78341,101,33.7,113749,29595
10-10-2018,-3538,-3538,0,-3538,0,50094,75,-7.1,142802,2154
11-10-2018,19,19,0,19,0,1882,3,1,6599,0
12-10-2018,146,146,0,146,0,49816,16,0.3,31198,0
15-10-2018,83,83,0,83,0,8674,28,1,54038,762
16-10-2018,104,150,-47,-804,954,56569,69,0.2,121687,5731
17-10-2018,2373,2415,-42,-1577,3992,70976,261,3.3,480620,13827
